user_id,year,carried_over_minutes,granted_minutes,used_minutes,half_leave_used_count,time_leave_used_minutes
e00001,2025,9600,9600,0,0,0
e00002,2025,8160,8640,1440,0,0
e00003,2025,1920,6720,480,0,0
e00004,2025,0,4800,0,0,0
e00005,2025,9120,9120,1920,0,0
e00006,2025,3840,7680,960,0,0
e00007,2025,0,4800,480,0,0
e00008,2025,0,4800,0,0,0
e00009,2025,9600,9600,2400,0,0
e00010,2025,8640,8640,480,0,0
e00011,2025,2400,6720,0,0,0
e00012,2025,4800,5280,240,0,0
e00013,2025,9600,9600,2880,0,0
e00014,2025,9600,9120,1200,0,60
e00015,2025,0,4800,0,0,0
e00016,2025,0,4800,0,0,0
e00017,2025,9600,9600,960,0,0
e00018,2025,4800,7680,480,0,0
e00019,2025,9600,5280,720,0,0
e00020,2025,9600,9600,1920,0,0
e00021,2025,9600,9600,0,0,0
e00022,2025,9600,9600,0,0,0
